FIPS,State,County,Pop
01001, Alabama,Autauga County,55869
01003, Alabama,Baldwin County,223234
01005, Alabama,Barbour County,24686
01007, Alabama,Bibb County,22394
01009, Alabama,Blount County,57826
01011, Alabama,Bullock County,10101
01013, Alabama,Butler County,19448
01015, Alabama,Calhoun County,113605
01017, Alabama,Chambers County,33254
01019, Alabama,Cherokee County,26196
01021, Alabama,Chilton County,44428
01023, Alabama,Choctaw County,12589
01025, Alabama,Clarke County,23622
01027, Alabama,Clay County,13235
01029, Alabama,Cleburne County,14910
01031, Alabama,Coffee County,52342
01033, Alabama,Colbert County,55241
01035, Alabama,Conecuh County,12067
01037, Alabama,Coosa County,10663
01039, Alabama,Covington County,37049
01041, Alabama,Crenshaw County,13772
01043, Alabama,Cullman County,83768
01045, Alabama,Dale County,49172
01047, Alabama,Dallas County,37196
01049, Alabama,DeKalb County,71513
01051, Alabama,Elmore County,81209
01053, Alabama,Escambia County,36633
01055, Alabama,Etowah County,102268
01057, Alabama,Fayette County,16302
01059, Alabama,Franklin County,31362
01061, Alabama,Geneva County,26271
01063, Alabama,Greene County,8111
01065, Alabama,Hale County,14651
01067, Alabama,Henry County,17205
01069, Alabama,Houston County,105882
01071, Alabama,Jackson County,51626
01073, Alabama,Jefferson County,658573
01075, Alabama,Lamar County,13805
01077, Alabama,Lauderdale County,92729
01079, Alabama,Lawrence County,32924
01081, Alabama,Lee County,164542
01083, Alabama,Limestone County,98915
01085, Alabama,Lowndes County,9726
01087, Alabama,Macon County,18068
01089, Alabama,Madison County,372909
01091, Alabama,Marengo County,18863
01093, Alabama,Marion County,29709
01095, Alabama,Marshall County,96774
01097, Alabama,Mobile County,413210
01099, Alabama,Monroe County,20733
01101,Alabama,Montgomery County,226486
01103,Alabama,Morgan County,119679
01105,Alabama,Perry County,8923
01107,Alabama,Pickens County,19930
01109,Alabama,Pike County,33114
01111,Alabama,Randolph County,22722
01113,Alabama,Russell County,57961
01115,Alabama,St. Clair County,89512
01117,Alabama,Shelby County,217702
01119,Alabama,Sumter County,12427
01121,Alabama,Talladega County,79978
01123,Alabama,Tallapoosa County,40367
01125,Alabama,Tuscaloosa County,209355
01127,Alabama,Walker County,63521
01129,Alabama,Washington County,16326
01131,Alabama,Wilcox County,10373
01133,Alabama,Winston County,23629
02013,Alaska,Aleutians East Borough,3337
02016,Alaska,Aleutians West Census Area,5634
02020,Alaska,Anchorage Municipality,288000
02050,Alaska,Bethel Census Area,18386
02060,Alaska,Bristol Bay Borough,836
02068,Alaska,Denali Borough,2097
02070,Alaska,Dillingham Census Area,4916
02090,Alaska,Fairbanks North Star Borough,96849
02100,Alaska,Haines Borough,2530
02105,Alaska,Hoonah-Angoon Census Area,2148
02110,Alaska,Juneau City and Borough,31974
02122,Alaska,Kenai Peninsula Borough,58708
02130,Alaska,Ketchikan Gateway Borough,13901
02150,Alaska,Kodiak Island Borough,12998
02158,Alaska,Kusilvak Census Area,8314
02164,Alaska,Lake and Peninsula Borough,1592
02170,Alaska,Matanuska-Susitna Borough,108317
02180,Alaska,Nome Census Area,10004
02185,Alaska,North Slope Borough,9832
02188,Alaska,Northwest Arctic Borough,7621
02195,Alaska,Petersburg Borough,3266
02198,Alaska,Prince of Wales-Hyder Census Area,6203
02220,Alaska,Sitka City and Borough,8493
02230,Alaska,Skagway Municipality,1183
02240,Alaska,Southeast Fairbanks Census Area,6893
02261,Alaska,Valdez-Cordova Census Area,9202
02275,Alaska,Wrangell City and Borough,2502
02282,Alaska,Yakutat City and Borough,579
02290,Alaska,Yukon-Koyukuk Census Area,5230
04001,Arizona,Apache County,71887
04003,Arizona,Cochise County,125922
04005,Arizona,Coconino County,143476
04007,Arizona,Gila County,54018
04009,Arizona,Graham County,38837
04011,Arizona,Greenlee County,9498
04012,Arizona,La Paz County,21108
04013,Arizona,Maricopa County,4485414
04015,Arizona,Mohave County,212181
04017,Arizona,Navajo County,110924
04019,Arizona,Pima County,1047279
04021,Arizona,Pinal County,462789
04023,Arizona,Santa Cruz County,46498
04025,Arizona,Yavapai County,235099
04027,Arizona,Yuma County,213787
05001,Arkansas,Arkansas County,17486
05003,Arkansas,Ashley County,19657
05005,Arkansas,Baxter County,41932
05007,Arkansas,Benton County,279141
05009,Arkansas,Boone County,37432
05011,Arkansas,Bradley County,10763
05013,Arkansas,Calhoun County,5189
05015,Arkansas,Carroll County,28380
05017,Arkansas,Chicot County,10118
05019,Arkansas,Clark County,22320
05021,Arkansas,Clay County,14551
05023,Arkansas,Cleburne County,24919
05025,Arkansas,Cleveland County,7956
05027,Arkansas,Columbia County,23457
05029,Arkansas,Conway County,20846
05031,Arkansas,Craighead County,110332
05033,Arkansas,Crawford County,63257
05035,Arkansas,Crittenden County,47955
05037,Arkansas,Cross County,16419
05039,Arkansas,Dallas County,7009
05041,Arkansas,Desha County,11361
05043,Arkansas,Drew County,18219
05045,Arkansas,Faulkner County,126007
05047,Arkansas,Franklin County,17715
05049,Arkansas,Fulton County,12477
05051,Arkansas,Garland County,99386
05053,Arkansas,Grant County,18265
05055,Arkansas,Greene County,45325
05057,Arkansas,Hempstead County,21532
05059,Arkansas,Hot Spring County,33771
05061,Arkansas,Howard County,13202
05063,Arkansas,Independence County,37825
05065,Arkansas,Izard County,13629
05067,Arkansas,Jackson County,16719
05069,Arkansas,Jefferson County,66824
05071,Arkansas,Johnson County,26578
05073,Arkansas,Lafayette County,6624
05075,Arkansas,Lawrence County,16406
05077,Arkansas,Lee County,8857
05079,Arkansas,Lincoln County,13024
05081,Arkansas,Little River County,12259
05083,Arkansas,Logan County,21466
05085,Arkansas,Lonoke County,73309
05087,Arkansas,Madison County,16576
05089,Arkansas,Marion County,16694
05091,Arkansas,Miller County,43257
05093,Arkansas,Mississippi County,40651
05095,Arkansas,Monroe County,6701
05097,Arkansas,Montgomery County,8986
05099,Arkansas,Nevada County,8252
05101,Arkansas,Newton County,7753
05103,Arkansas,Ouachita County,23382
05105,Arkansas,Perry County,10455
05107,Arkansas,Phillips County,17782
05109,Arkansas,Pike County,10718
05111,Arkansas,Poinsett County,23528
05113,Arkansas,Polk County,19964
05115,Arkansas,Pope County,64072
05117,Arkansas,Prairie County,8062
05119,Arkansas,Pulaski County,391911
05121,Arkansas,Randolph County,17958
05123,Arkansas,St. Francis County,24994
05125,Arkansas,Saline County,122437
05127,Arkansas,Scott County,10281
05129,Arkansas,Searcy County,7881
05131,Arkansas,Sebastian County,127827
05133,Arkansas,Sevier County,17007
05135,Arkansas,Sharp County,17442
05137,Arkansas,Stone County,12506
05139,Arkansas,Union County,38682
05141,Arkansas,Van Buren County,16545
05143,Arkansas,Washington County,239187
05145,Arkansas,White County,78753
05147,Arkansas,Woodruff County,6320
05149,Arkansas,Yell County,21341
06001,California,Alameda County,1671329
06003,California,Alpine County,1129
06005,California,Amador County,39752
06007,California,Butte County,219186
06009,California,Calaveras County,45905
06011,California,Colusa County,21547
06013,California,Contra Costa County,1153526
06015,California,Del Norte County,27812
06017,California,El Dorado County,192843
06019,California,Fresno County,999101
06021,California,Glenn County,28393
06023,California,Humboldt County,135558
06025,California,Imperial County,181215
06027,California,Inyo County,18039
06029,California,Kern County,900202
06031,California,Kings County,152940
06033,California,Lake County,64386
06035,California,Lassen County,30573
06037,California,Los Angeles County,10039107
06039,California,Madera County,157327
06041,California,Marin County,258826
06043,California,Mariposa County,17203
06045,California,Mendocino County,86749
06047,California,Merced County,277680
06049,California,Modoc County,8841
06051,California,Mono County,14444
06053,California,Monterey County,434061
06055,California,Napa County,137744
06057,California,Nevada County,99755
06059,California,Orange County,3175692
06061,California,Placer County,398329
06063,California,Plumas County,18807
06065,California,Riverside County,2470546
06067,California,Sacramento County,1552058
06069,California,San Benito County,62808
06071,California,San Bernardino County,2180085
06073,California,San Diego County,3338330
06075,California,San Francisco County,881549
06077,California,San Joaquin County,762148
06079,California,San Luis Obispo County,283111
06081,California,San Mateo County,766573
06083,California,Santa Barbara County,446499
06085,California,Santa Clara County,1927852
06087,California,Santa Cruz County,273213
06089,California,Shasta County,180080
06091,California,Sierra County,3005
06093,California,Siskiyou County,43539
06095,California,Solano County,447643
06097,California,Sonoma County,494336
06099,California,Stanislaus County,550660
06101,California,Sutter County,96971
06103,California,Tehama County,65084
06105,California,Trinity County,12285
06107,California,Tulare County,466195
06109,California,Tuolumne County,54478
06111,California,Ventura County,846006
06113,California,Yolo County,220500
06115,California,Yuba County,78668
08001, Colorado,Adams County,517421
08003, Colorado,Alamosa County,16233
08005, Colorado,Arapahoe County,656590
08007, Colorado,Archuleta County,14029
08009, Colorado,Baca County,3581
