FIPS,County,State,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
01001,Autauga,Alabama,2020-12-13,32.53952745,-86.64408227,3258,41,0,3217,"Autauga, Alabama, US",5831.499,1.258
01003,Baldwin,Alabama,2020-12-13,30.72774991,-87.72207058,10665,141,0,10524,"Baldwin, Alabama, US",4777.498,1.322
01005,Barbour,Alabama,2020-12-13,31.868263,-85.3871286,1269,30,0,1239,"Barbour, Alabama, US",5140.566,2.364
01007,Bibb,Alabama,2020-12-13,32.99642064,-87.12511459999997,1417,40,0,1377,"Bibb, Alabama, US",6327.588,2.823
01009,Blount,Alabama,2020-12-13,33.98210918,-86.56790593,3744,47,0,3697,"Blount, Alabama, US",6474.596,1.255
01011,Bullock,Alabama,2020-12-13,32.10030533,-85.71265535,725,20,0,705,"Bullock, Alabama, US",7177.507,2.759
01013,Butler,Alabama,2020-12-13,31.75300095,-86.68057478,1306,44,0,1262,"Butler, Alabama, US",6715.343,3.369
01015,Calhoun,Alabama,2020-12-13,33.77483727,-85.82630386,7760,129,0,7631,"Calhoun, Alabama, US",6830.685,1.662
01017,Chambers,Alabama,2020-12-13,32.91360079,-85.39072749,1997,57,0,1940,"Chambers, Alabama, US",6005.293,2.854
01019,Cherokee,Alabama,2020-12-13,34.17805983,-85.60638968,1187,24,0,1163,"Cherokee, Alabama, US",4531.226,2.022
01021,Chilton,Alabama,2020-12-13,32.85044126,-86.7173256,2527,46,0,2481,"Chilton, Alabama, US",5687.855,1.82
01023,Choctaw,Alabama,2020-12-13,32.02227341,-88.26564429999998,453,20,0,433,"Choctaw, Alabama, US",3598.38,4.415
01025,Clarke,Alabama,2020-12-13,31.68099859,-87.83548597,2033,24,0,2009,"Clarke, Alabama, US",8606.384,1.181
01027,Clay,Alabama,2020-12-13,33.26984193,-85.85836077,998,28,0,970,"Clay, Alabama, US",7540.612,2.806
01029,Cleburne,Alabama,2020-12-13,33.67679204,-85.52005899,878,15,0,863,"Cleburne, Alabama, US",5888.665,1.708
01031,Coffee,Alabama,2020-12-13,31.39932826,-85.98901039,2886,25,0,2861,"Coffee, Alabama, US",5513.737,0.866
01033,Colbert,Alabama,2020-12-13,34.69847452,-87.80168544,3806,53,0,3753,"Colbert, Alabama, US",6889.81,1.393
01035,Conecuh,Alabama,2020-12-13,31.43401703,-86.99320044,776,15,0,761,"Conecuh, Alabama, US",6430.762,1.933
01037,Coosa,Alabama,2020-12-13,32.93690146,-86.24847739,430,4,0,426,"Coosa, Alabama, US",4032.636,0.93
01039,Covington,Alabama,2020-12-13,31.2477854,-86.45050893,2517,38,0,2479,"Covington, Alabama, US",6793.706,1.51
01041,Crenshaw,Alabama,2020-12-13,31.72941803,-86.31593104,771,32,0,739,"Crenshaw, Alabama, US",5598.315,4.15
01043,Cullman,Alabama,2020-12-13,34.13020303,-86.86888037,5633,59,0,5574,"Cullman, Alabama, US",6724.525,1.047
01045,Dale,Alabama,2020-12-13,31.43037123,-85.61095742,2748,59,0,2689,"Dale, Alabama, US",5588.546,2.147
01047,Dallas,Alabama,2020-12-13,32.32688101,-87.10866709999998,2487,34,0,2453,"Dallas, Alabama, US",6686.203,1.367
01049,DeKalb,Alabama,2020-12-13,34.45946862,-85.80782906,5785,49,0,5736,"DeKalb, Alabama, US",8089.438,0.847
01051,Elmore,Alabama,2020-12-13,32.59785413,-86.14415284,4909,72,0,4837,"Elmore, Alabama, US",6044.897,1.467
01053,Escambia,Alabama,2020-12-13,31.1256789,-87.15918694,2258,32,0,2226,"Escambia, Alabama, US",6163.841,1.417
01055,Etowah,Alabama,2020-12-13,34.04567266,-86.04051873,7919,80,0,7839,"Etowah, Alabama, US",7743.38,1.01
